pays,population,evo_pop_%,qt_kcal/h,qt_prot_gr/h,ratio_prot_viande_%,qt_volaille_Kg/h,PIBh_$,tot_poultry_exch_$
Cambodge,15022692.0,4.98962,2477.0,65.66,6.88,1.8638470388662698,1013.6659524950697,0.0
Republique de Coree,50169242.0,1.2439,3334.0,96.2,20.53,15.706834877034817,25890.01866989056,1449152.0
Koweit,3598385.0,20.02286,3501.0,108.24,27.12,50.02244062266823,48399.807817718436,7209506.0
Lettonie,2040784.0,-3.68427,3174.0,91.39,20.29,21.070333754086665,15032.282013148895,0.0
Republique democratique populaire lao,6494557.0,3.9749,2451.0,68.9,9.94,4.311302526099933,1838.8060199231422,0.0
Liban,5276102.0,21.64931,3066.0,79.71,18.34,18.763852556300087,8807.901335142735,0.0
Lesotho,2117361.0,3.76418,2529.0,73.52,12.61,9.918006424034447,1192.9987655327388,0.0
Liberia,4286291.0,8.56523,2204.0,37.66,15.14,8.865473669426551,715.5370458981903,371119.0
Lituanie,2997334.0,-4.04856,3417.0,124.49,21.41,27.357645160666113,15693.786728259918,0.0
Chine - RAS de Macao,575841.0,7.23915,2915.0,94.84,37.79,36.46840013128624,89524.84436071465,276485.0
Madagascar,22961146.0,8.55492,2052.0,46.67,11.4,3.1357319882901313,461.7230721742339,452946.0
Malawi,16577147.0,9.29678,2367.0,64.55,5.96,1.3271282446852888,332.9210248651082,22829.0
Malaisie,29706724.0,5.67167,2916.0,81.58,22.73,49.68572098357261,10882.289104210176,1499426.0000000002
Maldives,397397.0,9.02195,2732.0,122.43,9.790000000000001,25.163753123450856,8291.485294941966,0.0
Mali,16477818.0,9.30498,2890.0,85.2,11.690000000000001,2.852319402969495,803.893575679405,1004027.0000000001
Malte,423246.0,1.71493,3378.0,110.36,27.12,30.71499789720399,23820.363405270553,0.0
Mauritanie,3946170.0,9.32603,2876.0,84.96,13.18,5.575025911199973,1450.5779490437146,0.0
Maurice,1255290.0,0.58776,3065.0,88.36,21.65,39.03480470648217,9637.00265000958,1294244.0
Mexique,122535969.0,4.44688,3072.0,87.63,22.830000000000002,30.07280254175817,10400.563158043558,349843.0
Mongolie,2869107.0,5.76768,2510.0,80.79,37.2,2.7883240325299825,4385.379354688455,0.0
